query_name,database
ERR2726542_rs214,rs214
ERR2726542_rs214_fuso,rs214_fuso
ERR2726542_rs214reps,rs214reps
ERR2726542_rs214reps_fuso,rs214reps_fuso
ERR2726543_rs214,rs214
ERR2726543_rs214_fuso,rs214_fuso
ERR2726543_rs214reps,rs214reps
ERR2726543_rs214reps_fuso,rs214reps_fuso
ERR2726544_rs214,rs214
ERR2726544_rs214_fuso,rs214_fuso
ERR2726544_rs214reps,rs214reps
ERR2726544_rs214reps_fuso,rs214reps_fuso
